batsman,bowler,economy_rate
"Devon Conway","Mayank Markande",3.8
"Ravindra Jadeja","Sunil Narine",3.8
"Ravindra Jadeja","Kuldeep Yadav",3.8
"Ravindra Jadeja","Mayank Markande",3.8
"Devon Conway","Sunil Narine",3.8
"Devon Conway","Kuldeep Yadav",3.8
"Devon Conway","Mayank Markande",3.8
"Ajinkya Rahane","Sunil Narine",3.8
"Ajinkya Rahane","Kuldeep Yadav",3.8
"Ajinkya Rahane","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
"MS Dhoni","Mayank Markande",3.8
"Ruturaj Gaikwad","Sunil Narine",3.8
"Ruturaj Gaikwad","Kuldeep Yadav",3.8
"Ruturaj Gaikwad","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"Devon Conway","Sunil Narine",3.8
"Devon Conway","Kuldeep Yadav",3.8
"Devon Conway","Mayank Markande",3.8
"Ajinkya Rahane","Sunil Narine",3.8
"Ajinkya Rahane","Kuldeep Yadav",3.8
"Ajinkya Rahane","Mayank Markande",3.8
"Ambati Rayudu","Sunil Narine",3.8
"Ambati Rayudu","Kuldeep Yadav",3.8
"Ambati Rayudu","Mayank Markande",3.8
"Moeen Ali","Sunil Narine",3.8
"Moeen Ali","Kuldeep Yadav",3.8
"Moeen Ali","Mayank Markande",3.8
"Shivam Dube","Sunil Narine",3.8
"Shivam Dube","Kuldeep Yadav",3.8
"Shivam Dube","Mayank Markande",3.8
"Moeen Ali","Sunil Narine",3.8
"Moeen Ali","Kuldeep Yadav",3.8
"Moeen Ali","Mayank Markande",3.8
"Ambati Rayudu","Sunil Narine",3.8
"Ambati Rayudu","Kuldeep Yadav",3.8
"Ambati Rayudu","Mayank Markande",3.8
"Ravindra Jadeja","Sunil Narine",3.8
"Ravindra Jadeja","Kuldeep Yadav",3.8
"Ravindra Jadeja","Mayank Markande",3.8
"Ravindra Jadeja","Sunil Narine",3.8
"Ravindra Jadeja","Kuldeep Yadav",3.8
"Ravindra Jadeja","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
"MS Dhoni","Mayank Markande",3.8
"MS Dhoni","Sunil Narine",3.8
"MS Dhoni","Kuldeep Yadav",3.8
